@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2}

@data
101,'2018/07/07 11:52:32:636',10,0.768225,0.352775,0.57701,0.472352,-0.342752,-0.280092,-0.013706,0.018611,0.844907,0.726942,0.168806,-0.245137,-0.216014,-0.192144,0.458783,0.051228,?
102,'2018/07/07 11:52:32:890',10,0.598628,-0.733389,-1.31674,-0.836475,-0.315666,-0.014099,-0.997481,-0.572999,-0.436428,-0.352304,-0.1705,0.004981,0.049148,-0.303312,-0.885144,-0.410039,?
103,'2018/07/07 11:52:33:145',10,-1.084188,-0.300359,-0.372324,-1.175968,-1.304292,-0.643424,-0.304774,-0.137802,0.328664,-0.876422,-1.052389,-0.201352,0.261049,-0.401115,-0.687404,-0.100522,?
104,'2018/07/07 11:52:33:906',10,-0.042949,-0.012611,0.114617,-0.17075,-0.110816,0.060692,0.040457,0.741219,-0.047445,-0.600974,0.032627,-0.134461,0.318915,0.060618,-0.435198,0.192972,?
105,'2018/07/07 11:52:34:161',10,0.804557,-0.142797,-0.728504,-0.020943,-0.459734,-0.559657,-0.045337,-0.160317,-0.578477,-0.453568,0.061668,-0.00503,0.293544,0.475411,0.411853,0.248051,?
106,'2018/07/07 11:52:34:667',10,-0.422867,-0.655745,0.617836,-0.006085,-0.139026,0.025489,-0.128073,0.428361,0.485898,-0.389556,-0.242888,-0.404231,-0.85344,-0.526973,-0.643496,0.073953,?
107,'2018/07/07 11:52:34:920',10,-0.07175,0.445237,0.611557,-0.975781,-0.060289,0.986499,-0.39994,-0.374155,-0.039469,0.2065,0.010316,0.227586,0.064664,-0.115488,0.12876,0.02498,?
108,'2018/07/07 11:52:35:173',10,1.093066,0.477851,-0.71389,-0.26424,-0.092313,-0.182779,-0.390313,0.196027,-0.243429,-0.45654,-0.05486,-0.636419,-0.332363,-0.00942,-0.442497,-0.139273,?
109,'2018/07/07 11:52:35:427',10,1.379204,0.212014,-0.668908,0.090204,-0.262639,-0.880212,-1.119149,-1.521607,-0.341063,-0.793314,0.040268,-0.261297,-0.375818,-0.350718,-0.337953,0.041198,?
110,'2018/07/07 11:52:35:932',10,-1.23457,-0.020607,-0.282527,-1.163479,-0.984156,-0.166369,0.340222,0.173864,0.550974,1.100519,0.566781,0.05377,0.190847,0.08389,0.168573,0.329572,?
111,'2018/07/07 11:52:36:188',10,0.91072,0.618134,0.624939,0.329272,0.686786,1.67069,-0.033223,-0.254173,0.143859,0.098071,0.374992,0.567416,0.71446,0.750978,-0.203877,0.000171,?
112,'2018/07/07 11:52:36:694',10,0.784384,0.010972,0.652308,1.075468,0.396252,0.540908,1.051157,1.161515,1.221552,0.281861,-0.917298,-0.406667,-0.254676,-0.598132,-0.663245,-0.324192,?
113,'2018/07/07 11:52:38:983',10,-0.245296,-0.029926,0.419168,0.569504,-0.888897,-1.088518,0.177384,0.380084,0.362232,0.353685,0.113148,-0.388285,0.065243,0.577838,0.282474,-0.465654,?
114,'2018/07/07 11:52:39:490',10,0.620983,-0.04818,0.484322,0.568429,0.354338,-0.752797,0.033279,0.462277,-0.153747,0.070727,-0.268373,-0.216715,-0.108966,0.045814,0.279831,-0.444385,?
115,'2018/07/07 11:52:39:744',10,0.496148,0.231147,0.087877,-0.290953,0.006829,-0.243989,-0.869647,-1.313519,0.361174,0.436186,0.47073,-0.435572,-0.148983,0.317803,0.746522,0.491766,?
116,'2018/07/07 11:52:39:996',10,0.15094,-0.448803,-1.2586,-1.44004,-1.335367,-0.580515,-0.450218,-0.428418,-0.074191,-0.693786,-0.602496,-0.195365,-0.102958,0.014288,0.584845,0.897687,?
117,'2018/07/07 11:52:40:249',10,-1.515037,-1.536015,-1.018686,0.779495,0.782402,0.24395,0.139542,0.339286,1.129691,0.968485,-0.25199,-0.023228,0.301816,0.159221,-0.056727,-0.241136,?
118,'2018/07/07 11:52:40:502',10,-1.985688,-0.39747,-0.036741,0.28531,-0.728742,0.542083,0.716239,-0.369667,-0.834326,-0.185505,-0.083242,0.271771,0.175259,0.148708,0.074636,-0.328087,?
119,'2018/07/07 11:52:40:756',10,-0.680463,-0.082789,-0.462052,-1.47326,-0.962485,-0.688906,-0.295772,0.191569,0.356566,-0.66408,-0.603133,-0.446181,-0.024317,0.081145,-0.000948,0.078241,?
120,'2018/07/07 11:52:41:265',10,0.232554,0.127767,0.895228,-0.094954,-0.45869,-0.162594,0.003127,1.268881,1.275298,0.397775,0.049509,-0.036875,0.162183,0.320138,0.162428,0.313675,?
121,'2018/07/07 11:52:41:517',10,0.39876,-0.066676,0.636324,0.349516,0.853457,-0.515592,-0.445724,-0.626769,-1.6451,-0.189835,0.444671,0.332322,0.280009,0.372945,-0.599141,-1.147806,?
122,'2018/07/07 11:52:42:278',10,2.708354,1.520165,0.495787,-0.159914,0.069905,0.392861,1.078268,2.072302,2.010029,0.832439,-0.215371,-0.90315,-0.697723,0.295085,-0.026248,-0.263544,?
123,'2018/07/07 11:52:42:532',10,0.999354,0.606602,-0.633751,-0.354105,-0.39702,-0.364557,0.008587,0.005129,0.342541,0.69443,0.161845,-0.252719,-0.086539,-0.107851,0.029753,0.066445,?
124,'2018/07/07 11:52:42:785',10,-0.285637,0.558297,-0.389744,-0.879405,-0.982835,-0.729686,-0.107691,0.284312,0.280883,-1.002473,-0.039186,0.853781,-0.373328,-1.712862,-0.175621,1.048657,?
125,'2018/07/07 11:52:43:293',10,0.927694,-0.388271,-1.048844,-0.245661,-0.979655,-1.167537,-0.61236,-0.5784,-0.789454,0.291042,0.114985,-0.429827,0.332159,0.168763,-0.273152,-0.004849,?
126,'2018/07/07 11:52:43:548',10,-0.006746,0.550121,0.152274,0.695689,0.415752,-0.093495,-0.28594,0.221189,0.092108,0.728429,0.090016,0.152754,-0.586365,-0.159008,0.429047,0.177534,?
127,'2018/07/07 11:53:13:178',11,2.608278,-0.324685,-0.42002,0.31161,0.959912,0.817454,1.867228,1.324277,-0.218625,0.047846,-0.49826,-0.558234,-0.471302,0.149978,0.247589,0.328295,?
128,'2018/07/07 11:53:13:433',11,-0.707799,-0.862038,-0.327942,0.658939,1.205695,-1.432739,-1.435173,-0.285866,-0.555587,-0.616317,0.109212,0.39412,0.426428,0.080307,0.162534,0.41021,?
129,'2018/07/07 11:53:13:688',11,-2.384431,0.156528,-0.155185,-0.681587,0.159793,-0.502384,-0.01484,0.028647,0.535592,-0.172633,-0.739065,-0.85434,-0.692913,-0.492463,-0.042956,-0.400346,?
130,'2018/07/07 11:53:13:943',11,-0.023031,0.02292,-0.022589,0.022039,-0.021278,0.020312,-0.01915,0.017803,-0.016285,0.014611,-0.012795,0.010857,-0.008814,0.006686,-0.004493,0.002257,?
131,'2018/07/07 11:53:14:196',11,-0.719194,-0.764655,-0.016797,1.19866,0.857761,-0.34256,-1.196905,0.304163,0.855869,0.525154,-0.436699,-0.554731,-0.928976,-0.905583,-0.250719,0.541671,?
132,'2018/07/07 11:53:14:449',11,0.718615,-0.005954,-0.680777,-0.063683,0.365222,-0.266662,0.209449,0.308061,0.09013,-0.32935,-0.139467,0.971766,1.009149,0.609986,0.247275,-0.305324,?
133,'2018/07/07 11:53:14:703',11,-0.907634,0.538578,0.873126,0.048768,0.044791,-1.635052,-1.9349,-0.753714,0.151348,-0.698488,-0.265318,0.148648,0.395209,0.153317,0.366045,0.324191,?
134,'2018/07/07 11:53:14:954',11,-0.475076,-0.426856,0.997199,0.481699,-0.188194,-0.920667,-0.519809,0.257828,0.050294,1.022043,0.702149,-0.882097,-0.926499,-0.114347,-0.085146,0.039241,?
135,'2018/07/07 11:53:15:209',11,0.864973,-0.55097,-0.72756,0.62422,0.542526,-0.171336,-0.766388,-1.066828,0.326127,0.690004,-0.125091,-0.359383,-0.006589,0.200818,0.264336,0.513432,?
136,'2018/07/07 11:53:15:463',11,-1.410378,-0.297746,0.869162,1.341156,0.77531,0.076174,-1.210517,-1.022856,-0.329317,0.147751,0.140008,0.080515,-0.219555,0.187257,0.302932,0.483617,?
137,'2018/07/07 11:53:15:718',11,1.190809,1.614196,2.267509,0.665271,-0.758156,-1.209426,-0.003917,0.773326,0.524165,-0.159919,-0.096043,-0.486851,-0.164392,0.174214,-0.052263,-0.060827,?
138,'2018/07/07 11:53:15:971',11,1.115879,0.311217,-0.272264,-0.252438,-0.098116,0.440383,0.294186,-0.966987,-0.517768,0.521452,1.143967,0.220148,-0.122265,0.354293,0.405298,-0.053771,?
139,'2018/07/07 11:53:16:224',11,0.045465,-0.764886,0.107707,0.495295,0.000216,-0.470044,-0.835659,-1.178496,0.109185,-0.255921,-0.227219,0.587065,0.623403,-0.159811,-0.105836,0.666874,?
140,'2018/07/07 11:53:16:478',11,-1.917813,-0.696906,0.108638,0.450597,-0.242096,-0.921957,-0.596212,-0.132578,0.044088,-0.226239,-0.548541,-0.131219,-0.099838,0.562334,0.719041,0.550967,?
141,'2018/07/07 11:53:16:733',11,-2.529237,-0.830616,0.021039,0.48532,0.53446,0.073308,0.699157,0.848224,0.139328,-0.206348,0.211922,0.28162,0.677654,0.73438,0.134844,0.040048,?
142,'2018/07/07 11:53:16:985',11,-0.246485,-0.329002,-0.426875,-0.135434,-0.324141,-0.756701,-1.190657,-0.332118,0.341817,0.236338,-0.026147,-0.43778,-0.445305,-0.110019,0.288339,0.447424,?
143,'2018/07/07 11:53:17:240',11,0.768154,1.066259,0.128996,-0.109179,0.107157,0.145814,0.431977,-0.082727,0.316228,-0.191252,-0.269036,-0.368626,-0.191479,-0.144015,-0.262725,-0.202786,?
